Medal_ID,Race_id,event_title,country_name,value_unit,medal_type
8412,1412,Men's 4 x 100m Freestyle Relay,France,03:40.2,BRONZE
8413,1413,Men's 4 x 100m Freestyle Relay,Great Britain,03:40.8,BRONZE
8414,1414,Men's 4 x 100m Freestyle Relay,Sweden,03:41.2,BRONZE
8415,1415,Men's 4 x 100m Freestyle Relay,People's Republic of China,03:42.9,BRONZE
8416,1416,Men's 4 x 100m Freestyle Relay,Republic of Korea,03:42.9,BRONZE
8417,1417,Men's 4 x 100m Freestyle Relay,Italy,03:42.9,BRONZE
8418,1418,Men's 4 x 100m Freestyle Relay,Belarus,03:42.9,BRONZE
8419,1419,Men's 4 x 100m Freestyle Relay,Brazil,03:42.9,BRONZE
8420,1420,Men's 4 x 100m Freestyle Relay,Czech Republic,03:42.9,BRONZE
8421,1421,Men's 4 x 100m Freestyle Relay,Spain,03:42.9,BRONZE
8422,1422,Men's 4 x 100m Freestyle Relay,Switzerland,03:42.9,BRONZE
8423,1423,Men's 4 x 100m Freestyle Relay,Greece,03:42.9,BRONZE
8424,1424,Men's 4 x 100m Freestyle Relay,South Africa,03:13.2,GOLD
8425,1425,Men's 4 x 100m Freestyle Relay,Netherlands,03:14.4,SILVER
8426,1426,Men's 4 x 100m Freestyle Relay,United States of America,03:14.6,BRONZE
8427,1427,Men's 4 x 100m Freestyle Relay,Russian Federation,03:15.7,BRONZE
8428,1428,Men's 4 x 100m Freestyle Relay,Italy,03:15.7,BRONZE
8429,1429,Men's 4 x 100m Freestyle Relay,Australia,03:15.8,BRONZE
