Team_id,discipline_title,event_title,slug_game,country_name
1317,Swimming,Men's 4 x 200m Freestyle Relay,beijing-2008,Canada
1318,Swimming,Men's 4 x 200m Freestyle Relay,beijing-2008,Great Britain
1319,Swimming,Men's 4 x 200m Freestyle Relay,beijing-2008,Japan
1320,Swimming,Men's 4 x 200m Freestyle Relay,beijing-2008,South Africa
1321,Swimming,Men's 4 x 200m Freestyle Relay,beijing-2008,Austria
1322,Swimming,Men's 4 x 200m Freestyle Relay,beijing-2008,People's Republic of China
1323,Swimming,Men's 4 x 200m Freestyle Relay,beijing-2008,France
1324,Swimming,Men's 4 x 200m Freestyle Relay,beijing-2008,Germany
1325,Swimming,Men's 4 x 200m Freestyle Relay,beijing-2008,Hungary
1326,Swimming,Men's 4 x 200m Freestyle Relay,beijing-2008,Poland
1327,Swimming,Men's 4 x 200m Freestyle Relay,beijing-2008,Greece
1328,Swimming,Men's 4 x 200m Freestyle Relay,beijing-2008,Brazil
1329,Swimming,Men's 4 x 100m Freestyle Relay,beijing-2008,Netherlands
1330,Swimming,Men's 4 x 100m Freestyle Relay,beijing-2008,United States of America
1331,Swimming,Men's 4 x 100m Freestyle Relay,beijing-2008,Australia
1332,Swimming,Men's 4 x 100m Freestyle Relay,beijing-2008,People's Republic of China
1333,Swimming,Men's 4 x 100m Freestyle Relay,beijing-2008,Germany
1334,Swimming,Men's 4 x 100m Freestyle Relay,beijing-2008,France
1335,Swimming,Men's 4 x 100m Freestyle Relay,beijing-2008,Great Britain
1336,Swimming,Men's 4 x 100m Freestyle Relay,beijing-2008,Canada
1337,Swimming,Men's 4 x 100m Freestyle Relay,beijing-2008,Japan
1338,Swimming,Men's 4 x 100m Freestyle Relay,beijing-2008,Italy
1339,Swimming,Men's 4 x 100m Freestyle Relay,beijing-2008,Sweden
1340,Swimming,Men's 4 x 100m Freestyle Relay,beijing-2008,Russian Federation
1341,Swimming,Men's 4 x 100m Freestyle Relay,beijing-2008,Brazil
1342,Swimming,Men's 4 x 100m Freestyle Relay,beijing-2008,Ukraine
1343,Swimming,Men's 4 x 100m Freestyle Relay,beijing-2008,South Africa
1344,Swimming,Men's 4 x 100m Freestyle Relay,beijing-2008,Belarus
1345,Swimming,Women's 4 x 200m Freestyle Relay,beijing-2008,Australia
1346,Swimming,Women's 4 x 200m Freestyle Relay,beijing-2008,People's Republic of China
1347,Swimming,Women's 4 x 200m Freestyle Relay,beijing-2008,United States of America
1348,Swimming,Women's 4 x 200m Freestyle Relay,beijing-2008,Italy
1349,Swimming,Women's 4 x 200m Freestyle Relay,beijing-2008,France
1350,Swimming,Women's 4 x 200m Freestyle Relay,beijing-2008,Hungary
1351,Swimming,Women's 4 x 200m Freestyle Relay,beijing-2008,Japan
1352,Swimming,Women's 4 x 200m Freestyle Relay,beijing-2008,Sweden
1353,Swimming,Women's 4 x 200m Freestyle Relay,beijing-2008,Great Britain
1354,Swimming,Women's 4 x 200m Freestyle Relay,beijing-2008,Canada
1355,Swimming,Women's 4 x 200m Freestyle Relay,beijing-2008,Netherlands
1356,Swimming,Women's 4 x 200m Freestyle Relay,beijing-2008,Germany
1357,Swimming,Women's 4 x 200m Freestyle Relay,beijing-2008,Denmark
1358,Swimming,Women's 4 x 200m Freestyle Relay,beijing-2008,Spain
1359,Swimming,Women's 4 x 200m Freestyle Relay,beijing-2008,Poland
1360,Swimming,Women's 4 x 200m Freestyle Relay,beijing-2008,New Zealand
1361,Swimming,Men's 4 x 100m Freestyle Relay,beijing-2008,United States of America
1362,Swimming,Men's 4 x 100m Freestyle Relay,beijing-2008,France
1363,Swimming,Men's 4 x 100m Freestyle Relay,beijing-2008,Australia
1364,Swimming,Men's 4 x 100m Freestyle Relay,beijing-2008,Italy
1365,Swimming,Men's 4 x 100m Freestyle Relay,beijing-2008,Sweden
1366,Swimming,Men's 4 x 100m Freestyle Relay,beijing-2008,Canada
1367,Swimming,Men's 4 x 100m Freestyle Relay,beijing-2008,South Africa
